# Time, VRMS, Nu
4.426056578333174363e-04 9.970182210368209397e+00 4.806628545853553192e+02
4.440308745600252452e-04 9.970229094862352426e+00 4.806509348018178116e+02
4.454561541332118348e-04 9.970275951995887453e+00 4.806389418157359614e+02
4.468814945532778799e-04 9.970322781640890142e+00 4.806271151256029839e+02
4.483068974084676193e-04 9.970369583550128922e+00 4.806152172895696708e+02
4.497323606981019710e-04 9.970416357594857004e+00 4.806034871003993203e+02
4.511578859859899674e-04 9.970463103528132365e+00 4.805916878152453933e+02
4.525834712715039176e-04 9.970509821220460367e+00 4.805800574702130348e+02
4.540091180928455708e-04 9.970556510425341301e+00 4.805683600423037092e+02
4.554348244506383511e-04 9.970603171012557553e+00 4.805568328075160025e+02
4.568605918563125082e-04 9.970649802736122780e+00 4.805452404923898371e+02
4.582864183129333065e-04 9.970696405465176326e+00 4.805338195627887785e+02
4.597123053040503031e-04 9.970742978954381996e+00 4.805223355229788353e+02
4.611382508364149412e-04 9.970789523072268068e+00 4.805110240107964046e+02
4.625642563646124254e-04 9.970836037574246191e+00 4.804996513384634795e+02
4.639903199003189162e-04 9.970882522328276210e+00 4.804884522929961577e+02
4.654164428681072216e-04 9.970928977090677492e+00 4.804771940005352349e+02
4.668426232858585538e-04 9.970975401728802368e+00 4.804661103730222180e+02
4.682688625471467542e-04 9.971021795999993387e+00 4.804549693917741706e+02
4.696951586773171167e-04 9.971068159771133921e+00 4.804440040659889632e+02
4.711215130379988207e-04 9.971114492800639439e+00 4.804329832450963522e+02
4.725479236632858042e-04 9.971160794954936790e+00 4.804221390201582267e+02
4.739743918819634564e-04 9.971207065993665353e+00 4.804112411270320422e+02
4.754009157381610361e-04 9.971253305782811438e+00 4.804005207109861999e+02
4.768274965269841134e-04 9.971299514083350246e+00 4.803897484226536676e+02
4.782541323038731577e-04 9.971345690760896829e+00 4.803791544437078755e+02
4.796808243294756256e-04 9.971391835577819052e+00 4.803685103611628620e+02
4.811075706717977268e-04 9.971437948399424656e+00 4.803580453600836790e+02
4.825343725563145322e-04 9.971484028989630488e+00 4.803475319841402325e+02
4.839612280648664545e-04 9.971530077213436982e+00 4.803371984178994580e+02
4.853881383870891774e-04 9.971576092836345495e+00 4.803268181692104122e+02
4.868151016198960174e-04 9.971622075723155731e+00 4.803166184009564290e+02
4.882421189164952544e-04 9.971668025641088562e+00 4.803063736059572193e+02
4.896691883900908303e-04 9.971713942454732305e+00 4.802963099143145769e+02
4.910963111569355060e-04 9.971759825933096621e+00 4.802862028127416352e+02
4.925234853477165799e-04 9.971805675940650815e+00 4.802762773824201759e+02
4.939507120412749532e-04 9.971851492248285709e+00 4.802663101208956959e+02
4.953779893869460389e-04 9.971897274720376458e+00 4.802565250477660470e+02
4.968053184257688369e-04 9.971943023129854922e+00 4.802466996793710337e+02
4.982326973268624143e-04 9.971988737340975462e+00 4.802370569695222571e+02
4.996601270931375245e-04 9.972034417128742945e+00 4.802273754582768106e+02
5.010876059145956190e-04 9.972080062357424168e+00 4.802178770222747630e+02
5.025151347557709229e-04 9.972125672804187602e+00 4.802083412375363309e+02
5.039427118286070794e-04 9.972171248333332017e+00 4.801989888952260799e+02
5.053703380590776877e-04 9.972216788724271197e+00 4.801896006129993566e+02
5.067980116820901184e-04 9.972262293841403391e+00 4.801803960914209597e+02
5.082257335849410095e-04 9.972307763466481845e+00 4.801711569928360177e+02
5.096535020264846136e-04 9.972353197464000729e+00 4.801621019272905642e+02
5.110813178552841207e-04 9.972398595618086503e+00 4.801530136021764292e+02
5.125091793550763317e-04 9.972443957793474922e+00 4.801441095320213890e+02
5.139370873357147328e-04 9.972489283776743818e+00 4.801351734747686919e+02
5.153650401067066348e-04 9.972534573432843885e+00 4.801264218471910112e+02
5.167930384392775689e-04 9.972579826550948212e+00 4.801176394569679928e+02
5.182210806695522259e-04 9.972625042996268618e+00 4.801090416269306616e+02
5.196491675302646832e-04 9.972670222560534370e+00 4.801004142111360125e+02
5.210772973849519488e-04 9.972715365109326768e+00 4.800919714379566017e+02
5.225054709280719687e-04 9.972760470437053826e+00 4.800835002088572310e+02
5.239336865513149035e-04 9.972805538409700077e+00 4.800752136598894140e+02
5.253619449111285224e-04 9.972850568824370043e+00 4.800668997360822914e+02
5.267902444280512207e-04 9.972895561547513665e+00 4.800587704858202756e+02
5.282185857208442255e-04 9.972940516379065201e+00 4.800506148913754600e+02
5.296469672395428445e-04 9.972985433185929338e+00 4.800426439228305071e+02
5.310753895655920178e-04 9.973030311770818557e+00 4.800346475911441075e+02
5.325038511791175665e-04 9.973075152001257493e+00 4.800268357927150760e+02
5.339323526246893053e-04 9.973119953682829220e+00 4.800189995633517128e+02
5.353608924130607910e-04 9.973164716683674769e+00 4.800113477329464331e+02
5.367894710524091827e-04 9.973209440812311755e+00 4.800036723535367287e+02
5.382180870846065912e-04 9.973254125937556225e+00 4.799961812011372899e+02
5.396467409819522996e-04 9.973298771870888757e+00 4.799886673245629254e+02
5.410754313179070825e-04 9.973343378481818178e+00 4.799813374631736451e+02
5.425041585294674076e-04 9.973387945584892833e+00 4.799739856582755806e+02
5.439329212220433193e-04 9.973432473050360514e+00 4.799668176139880984e+02
5.453617197979605596e-04 9.973476960695867533e+00 4.799596283551016995e+02
5.467905528949227852e-04 9.973521408392478804e+00 4.799526225665111383e+02
5.482194208812306551e-04 9.973565815960874659e+00 4.799455962417592900e+02
5.496483224271710285e-04 9.973610183273047269e+00 4.799387530563047335e+02
5.510772578677261644e-04 9.973654510152776709e+00 4.799318899641205576e+02
5.525062259060008543e-04 9.973698796473044581e+00 4.799252096433751262e+02
5.539352268443869989e-04 9.973743042060762676e+00 4.799185099950689164e+02
5.553642594190007437e-04 9.973787246789875383e+00 4.799119927179093565e+02
5.567933239003834906e-04 9.973831410490511473e+00 4.799054566348169715e+02
5.582224190578481378e-04 9.973875533037665164e+00 4.798991024876735310e+02
5.596515451308727192e-04 9.973919614264698197e+00 4.798927300114668242e+02
5.610807009220405029e-04 9.973963654047654614e+00 4.798865390018441417e+02
5.625098866405783306e-04 9.974007652223091824e+00 4.798803300908014648e+02
5.639391011223957853e-04 9.974051608668249358e+00 4.798743021394496964e+02
5.653683445473246024e-04 9.974095523222965554e+00 4.798682566670229903e+02
5.667976157846037156e-04 9.974139395765666549e+00 4.798623916106769798e+02
5.682269149855487169e-04 9.974183226139448522e+00 4.798565093732365767e+02
5.696562410526538394e-04 9.974227014223963295e+00 4.798508069760266608e+02
5.710855941095941335e-04 9.974270759865653702e+00 4.798450876816654045e+02
5.725149730920910509e-04 9.974314462945448767e+00 4.798395476246789144e+02
5.739443780970485218e-04 9.974358123313091795e+00 4.798339909046821958e+02
5.753738080933136273e-04 9.974401740850893816e+00 4.798286127879433707e+02
5.768032631519307745e-04 9.974445315411847091e+00 4.798232182062872653e+02
5.782327422746700359e-04 9.974488846879699722e+00 4.798180015583136537e+02
5.796622455076531552e-04 9.974532335110751546e+00 4.798127685911060780e+02
5.810917718854242270e-04 9.974575779990219715e+00 4.798077128630052925e+02
5.825213214300829778e-04 9.974619181377724075e+00 4.798026409172558147e+02
5.839508932087232032e-04 9.974662539159977470e+00 4.797977454865261961e+02
5.853804872203526412e-04 9.974705853199939298e+00 4.797928338944572602e+02
5.868101025643659638e-04 9.974749123385867833e+00 4.797880980691546711e+02
5.882397392175956136e-04 9.974792349584037154e+00 4.797833460957685361e+02
5.896693963114535116e-04 9.974835531684297152e+00 4.797787691099071594e+02
5.910990738015387599e-04 9.974878669556263233e+00 4.797741759480006181e+02
5.925287708509637246e-04 9.974921763091419535e+00 4.797697569694338426e+02
5.939584873950177991e-04 9.974964812162705030e+00 4.797653217437572266e+02
5.953882226281769332e-04 9.975007816663310933e+00 4.797610598734549967e+02
5.968179764663411905e-04 9.975050776469473135e+00 4.797567816408688941e+02
5.982477481349905831e-04 9.975093691476086377e+00 4.797526759161588075e+02
5.996775375315426719e-04 9.975136561562726101e+00 4.797485536725566249e+02
6.011073439120923024e-04 9.975179386626097155e+00 4.797446030637484000e+02
6.025371671564920930e-04 9.975222166549018610e+00 4.797406357406504185e+02
6.039670065510350638e-04 9.975264901230008974e+00 4.797368391578506248e+02
6.053968619589084532e-04 9.975307590555225090e+00 4.797330256250662046e+02
6.068267326961705342e-04 9.975350234424997353e+00 4.797293819192349247e+02
6.082566186102303677e-04 9.975392832728772419e+00 4.797257209897538814e+02
6.096865190464566568e-04 9.975435385368779606e+00 4.797222289513264855e+02
6.111164338373613076e-04 9.975477892237750055e+00 4.797187193799662737e+02
6.125463623571483556e-04 9.975520353239796023e+00 4.797153777439181681e+02
