# Time, VRMS, Nusselt
3.434815288100000197e-02 3.422954574949999795e+01 1.037267468570000073e+00
3.437881727549999683e-02 3.423867103940000334e+01 1.037310625609999981e+00
3.440947234609999933e-02 3.424428646439999824e+01 1.037354128580000090e+00
3.444012148549999847e-02 3.425347427810000056e+01 1.037397982629999937e+00
3.447076129200000311e-02 3.425926421089999963e+01 1.037442183170000032e+00
3.450139506580000154e-02 3.426851439730000237e+01 1.037486735279999905e+00
3.453201949740000026e-02 3.427447620070000056e+01 1.037531634420000071e+00
3.456263779720000068e-02 3.428378852069999994e+01 1.037576885560000051e+00
3.459324674509999670e-02 3.428991952070000337e+01 1.037622484219999919e+00
3.462384946409999970e-02 3.429929364179999851e+01 1.037668435310000081e+00
3.465444282159999695e-02 3.430559113129999815e+01 1.037714734349999945e+00
3.468502985529999666e-02 3.431502662750000354e+01 1.037761386209999914e+00
3.471560751740000034e-02 3.432148787210000052e+01 1.037808386440000064e+00
3.474617876350000190e-02 3.433098422580000175e+01 1.037855739809999900e+00
3.477674062760000018e-02 3.433760646889999890e+01 1.037903441949999950e+00
3.480729598579999917e-02 3.434716307309999905e+01 1.037951497529999934e+00
3.483784195149999818e-02 3.435394354179999965e+01 1.037999902219999937e+00
3.486838132410000068e-02 3.436355970280000349e+01 1.038048660629999898e+00
3.489891129340000342e-02 3.437049561210000093e+01 1.038097768459999903e+00
3.492943458489999875e-02 3.438017055259999921e+01 1.038147230240000107e+00
3.495994846210000173e-02 3.438725911009999692e+01 1.038197041719999936e+00
3.499045557959999664e-02 3.439699197219999860e+01 1.038247207359999980e+00
3.502095327170000327e-02 3.440423038130000322e+01 1.038297722920000110e+00
3.505144412490000111e-02 3.441402022989999665e+01 1.038348592840000029e+00
3.508192554149999753e-02 3.442140569370000236e+01 1.038399812880000050e+00
3.511240004269999826e-02 3.443125151920000349e+01 1.038451387400000092e+00
3.514286509609999831e-02 3.443878124300000110e+01 1.038503312240000032e+00
3.517332316039999823e-02 3.444868196529999693e+01 1.038555591670000000e+00
3.520377176569999822e-02 3.445635315930000075e+01 1.038608221540000098e+00
3.523421331110000027e-02 3.446630763099999939e+01 1.038661206100000012e+00
3.526464538630000312e-02 3.447411751199999941e+01 1.038714541210000064e+00
3.529507033379999936e-02 3.448412452219999835e+01 1.038768231049999935e+00
3.532548579989999715e-02 3.449207031569999771e+01 1.038822271519999951e+00
3.535589407329999684e-02 3.450212859349999661e+01 1.038876666750000011e+00
3.538629285449999828e-02 3.451020753510000105e+01 1.038931412659999998e+00
